data | value
2002-09-09 | 1
2010-08-20 | 894
2010-08-29 | 817
2010-09-12 | 323
2010-11-24 | 255
2011-01-13 | 826
2011-02-09 | 508
2011-03-07 | 245
2011-04-20 | 197
2011-04-25 | 548
2011-06-28 | 177
2011-08-27 | 337
2011-08-29 | 790
2011-11-08 | 358
2011-12-31 | 380
2012-02-03 | 62
2012-02-04 | 14
2012-04-02 | 722
2012-04-28 | 142
2012-05-19 | 242
2012-06-11 | 329
2012-08-14 | 195
2012-10-13 | 630
2012-12-23 | 28
2013-01-20 | 706
2013-03-04 | 749
2013-03-29 | 660
2013-04-19 | 985
2013-06-11 | 799
2013-07-04 | 994
2013-08-10 | 615
2013-09-23 | 189
2013-11-04 | 301
2013-12-06 | 817
2014-02-08 | 317
2014-04-04 | 766
2014-06-01 | 256
2014-06-28 | 753
2014-08-02 | 540
2014-09-05 | 572
2014-10-21 | 244
2014-12-14 | 863
2015-02-04 | 673
2015-02-12 | 950
2015-04-04 | 289
2015-04-15 | 39
2015-06-18 | 249
2015-07-25 | 989
2015-07-30 | 261
2015-09-08 | 191
2015-10-20 | 991
2015-12-22 | 180
2016-02-15 | 493
2016-02-26 | 850
2016-03-13 | 105
2016-04-07 | 882
2016-06-18 | 456
2016-07-31 | 611
2016-09-26 | 959
2016-10-31 | 890
2016-12-15 | 705
2017-01-12 | 503
2017-03-14 | 191
2017-03-28 | 662
2017-06-04 | 97
2017-08-03 | 135
2017-09-06 | 996
2017-11-04 | 950
2018-01-18 | 403
2018-04-01 | 401
2018-05-10 | 872
2018-06-16 | 256
2018-08-02 | 800
2018-10-13 | 794
2018-11-29 | 791
2018-12-01 | 68
2019-01-29 | 400
2019-04-15 | 838
2019-07-01 | 817
2019-08-04 | 725
2019-09-26 | 860
2019-10-31 | 946
2019-11-12 | 788
2019-12-14 | 79
2020-02-13 | 269
2020-03-25 | 547
2020-04-04 | 518
2020-05-26 | 627
2020-05-30 | 375
2020-08-16 | 260
2020-09-10 | 106
2020-11-20 | 307
2021-01-23 | 807
2021-02-14 | 818
2021-03-21 | 574
2021-06-09 | 624
2021-06-15 | 289
2021-06-25 | 621
2021-09-04 | 623
2021-09-17 | 102
2021-10-15 | 671
2022-01-01 | 838
2022-03-03 | 531
2022-04-22 | 31
2022-06-06 | 224
2022-07-16 | 667
2022-08-04 | 826
2022-10-15 | 148
2022-12-01 | 802
2023-01-04 | 645
2023-01-09 | 92
2023-02-05 | 177
2023-04-11 | 600
2023-05-11 | 660
2023-06-04 | 437
2023-07-14 | 205
2023-08-31 | 112
2023-11-01 | 905
2024-01-03 | 116
2024-01-14 | 479
2024-03-11 | 407
2024-04-18 | 500
2024-04-28 | 652
2024-05-26 | 151
2024-07-18 | 74
2024-07-23 | 241
2024-09-17 | 737
2024-10-16 | 919
2024-12-04 | 437
2025-01-01 | 707
2025-01-30 | 884
2025-04-07 | 76
2025-06-02 | 530
2025-07-02 | 32
2025-08-28 | 664
2025-09-08 | 661
2025-11-21 | 55
2025-12-05 | 575
2025-12-13 | 151
