date | value
# arguments

1970-11-11 | 1 1
1970-11-11 |

#wrong separator

1970-11-11 & 1

##dates
#wrong format

111970-11 | 1
11111111 | 1
1970-11-11-11 | 1
1111 11 11 | 1

#wrong year

A111-11-11 | 1
11970-11-11 | 1
1111A-11-11 | 1
-1970-11-11 | 1

#wrong month

1970-13-11 | 1
1970-0-11 | 1
1970-00-11 | 1
1970-11A-11 | 1
1970-111-11 | 1
1970-A11-11 | 1
1970-011-11 | 1
1970-9-11 | 1

#wrong day

1970-11-01A | 1
1970-11-A01 | 1
1970-11-00 | 1
1970-11-35 | 1
1970-11-1 | 1

#testing febuary

1970-02-30 | 1
#bissextil
1001-02-29 | 1
1100-02-29 | 1

##testing value

1970-11-11 | -1
1970-11-11 | -1.0
1970-11-11 | .
1970-11-11 | a
1970-11-11 | 1a
1970-11-11 | 111111111111111111111111111111111111111111
1970-11-11 | 0.000000000000000000000000000000000000000000000000000000000000000000000000000000001
